State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,1430936,1072901,1015864,559215,1446636,128443,2545438,786677,15991,5142,309093,30981,1005,589477,23258,69937
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,899860,488709,411151,345054,252251,413838,183467,1009352,26502,2145,831,154458,1017,3555,227025,2932,13165
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,1718507,987185,731322,727819,527729,1154708,100840,2174672,320395,2097,824,68482,8719,399,402052,5614,29198
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,1879874,1048892,830982,734024,485617,1107542,112099,1845424,354236,3531,1668,364229,12242,522,423036,4767,24877
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,1578615,872565,706050,648565,409607,804433,253739,1780085,92297,10701,5251,286734,3861,23188,418666,8239,31419
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,1293916,723388,570528,570448,365922,825875,110495,1825460,187901,3653,1422,13405,12818,912,315332,6065,27139
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,1004243,542837,461406,383151,282268,433962,231457,1153861,26157,1827,2160,125282,1568,5080,239981,2866,13595
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,790743,450551,340192,330903,238279,514371,54811,863199,127552,992,643,176679,5278,103,159114,1221,9676
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,2891882,1629223,1262659,1186472,677099,1643955,219616,3457615,560261,7091,3091,143865,27404,9662,720791,14297,56775
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,1195523,699428,496095,545030,385856,844492,86394,1504641,274221,12542,1629,152540,9619,336,288895,3791,17236
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,2825845,1559760,1266085,1125204,578850,1508563,195491,3379906,286558,15573,1570,29766,154882,1274,770005,22269,71879
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,1650672,932432,718240,670018,376839,964177,82680,2006984,367664,2387,935,66535,6387,310,381722,6217,29758
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,1959220,1714588,1334211,534349,1654778,213782,3492202,390974,34667,20469,668050,24528,12181,917626,57964,135750
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,1255222,934203,925232,568721,1317791,176162,2501741,471951,3902,13540,354189,5049,1273,488748,7548,43055
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,512099,394410,442898,349167,664193,127872,1521618,96182,8467,685,4969,6191,2907,186202,2579,17047
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,4345366,2397538,1947828,1746286,1017042,2523023,240305,5237009,693052,23946,8912,94783,38212,1795,904710,45039,138887
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,1137810,644304,493506,473795,300121,701894,72022,1437623,178925,942,340,28216,4530,195,240042,3209,18183
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,1157814,666291,491523,501422,321375,756417,66380,1328385,306364,2081,1371,187899,6238,262,272486,3982,21196
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,7171723,3940210,3231513,2809816,1239177,3751221,297772,8090254,673704,134192,27090,340404,127786,9873,1925019,235018,490260
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,542756,408883,429211,260956,484875,205292,1422986,17332,47653,2117,781,409,1782,297308,3342,13857
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,1059692,880302,753843,319126,858825,214144,2239370,227465,17452,7477,121791,12260,1159,547206,38570,96301
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,1199392,619012,580380,407008,307068,554973,159103,1307211,187197,1990,230,113467,3347,95,367352,7752,31062
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,2049467,1121550,927917,800214,414890,1074948,140156,2440312,239607,9098,1260,38210,87453,769,485126,13212,49056
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,2225694,1201034,1024660,844805,510142,1184407,170540,2691952,146970,4408,1182,141315,12810,676,562653,14093,57423
