State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,1149269,696729,452540,541404,361425,628381,274448,1777879,249736,958,402,188,7104,127,231696,2577,15259
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,596935,341116,398151,286344,506214,178281,1582335,45488,439,296,94,3737,115,195277,1719,14539
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,653647,552869,683098,435721,247377,339110,184102,317617,205595,1127520,72258,688,1356,92,2739,21,96086,1330,9504
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,696532,692020,681591,415820,265771,346624,294891,216411,425104,1340065,28662,830,240,226,16141,853,141275,1477,11742
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,1193343,710908,482435,596320,316352,680563,232109,1437144,50688,2077,474853,938,1988,164,283142,6295,24901
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,1034136,624281,409855,512802,322458,642109,193151,1433067,118673,1542,216997,241,1935,138,243163,3360,16217
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,4300965,2554793,1746172,1714947,749946,2060010,404883,5819980,687452,12708,18782,1020,81079,257,990085,76565,182350
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,308653,210415,98238,182565,106338,175383,113520,497045,168129,874,1723,98,1521,34,43141,754,7416
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,829582,543923,285659,494906,401738,660719,235925,1732852,78990,730,231,144,14640,82,161845,1585,12794
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,725143,685986,739792,466815,272977,402825,283125,475653,210297,1299751,96164,842,819,46,12488,42,220428,1750,9403
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,815834,554526,541392,353257,592813,301836,1905682,228178,1004,275,56,548,85,297559,4828,24178
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,1265753,765779,965103,524638,1056479,433262,3224399,411558,6035,4123,514,36697,80,408808,19335,54808
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,531904,273945,371058,257668,438337,190389,1370977,81553,602,297,70,3424,413,132079,1059,13045
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,765396,532949,534650,214161,577548,171263,1661307,243993,5665,11058,280,25742,286,339899,12843,36297
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,1102750,655874,857031,568851,985927,439955,2833443,454487,1912,366,163,12940,276,347344,4449,35328
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,667381,418312,523077,319250,605288,237039,1870543,143476,1345,1540,141,18974,52,326793,4043,19270
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,383334,235805,319534,231297,362584,188247,1105676,33677,759,260,100,14966,68,193276,1989,9222
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,486184,255564,343802,234266,418555,159513,1165505,155681,945,812,177,9991,42,140947,1887,14310
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,995275,656842,657854,348650,698711,307793,2342076,327583,1122,356,177,4050,15,339457,5647,28382
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,309900,166906,272196,147633,313292,106537,996562,30479,1284,572,114,6829,56,134089,2146,10297
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,478329,271330,371848,277313,495797,153364,1243527,153146,754,378,122,22458,30,158264,1908,12482
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,973444,609185,835839,529944,822355,543428,2869976,104307,7406,4278,209,78647,373,357846,14211,48517
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,748382,604616,486951,92741,555026,24666,1410852,178807,15792,53027,2643,46927,366,352758,80037,127465
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,269582,211022,212547,147304,272241,87610,708397,7942,37403,104,88,65,42,177502,1749,8371
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,1968079,1808197,1369302,447995,1619554,197743,3751322,439270,358662,2851,2804,51708,1759,1096334,217368,355838
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,1394790,1241117,1083125,484825,1443252,124698,3044145,211035,190314,1112,435,3284,237,896325,63273,149920
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,1000322,814959,749633,420247,837271,332609,2391675,123749,83334,401,236,1280,138,598412,15396,50938
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,527599,390110,446057,305113,652996,98174,1452956,38304,14089,164,39,37,87,337972,3651,18927
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,816180,665654,665469,439686,963017,142138,1879494,105012,169945,313,256,71,138,500057,9155,38677
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,828300,664362,732083,463690,1111051,84722,2115455,76098,55899,435,148,639,157,595211,18604,58861
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,1611461,1401921,1181308,492506,1367378,306436,3537399,173785,256762,1620,990,4962,756,961161,100322,200738
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,780541,768197,524629,154991,552658,126962,909872,78590,876299,160,438,156,10,465692,15673,52943
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,401726,325318,329034,214264,508507,34791,993666,53292,16483,115,29,7,79,264949,4915,17995
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,1223810,1049620,902704,451928,1173902,180730,2760502,168881,97711,520,199,1532,305,754141,34097,95311
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,640916,572092,461174,210820,486328,185666,1435072,128617,47579,184,450,963,110,381940,5585,19692
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,653312,522819,531463,366782,839152,59093,1673652,32483,16909,183,108,84,199,441044,8960,31581
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,208011,167812,162639,137087,255097,44629,521658,32702,10301,83,39,38,26,135751,1507,7745
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,608776,501769,471099,290594,640248,121445,1428784,114194,72850,119,81,32,293,354493,4494,18272
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,978946,536487,442459,392751,210226,486150,116827,1047411,208038,91139,154,86,29,36,291400,5172,22379
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,2285562,1285107,1000455,1083797,610363,1561030,133130,3326357,95487,53841,412,174,992,246,835377,20660,63867
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,959744,526304,433440,391305,228866,461102,159069,1186078,74310,75481,150,80,109,24,314270,5773,24456
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,1182416,1223474,1790998,944264,846734,680483,293596,834484,139595,2075870,190814,133971,231,795,1256,148,555582,13495,42912
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,625683,620216,870080,479403,390677,368900,222742,530591,61051,1148990,56751,37574,152,79,28,74,312310,4667,18830
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1876062,1852042,2791721,1495711,1296010,1103563,434491,1247918,290136,3325823,143093,233633,1422,951,3693,530,909400,75634,174279
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,626693,637584,946471,503085,443386,369853,170315,412425,127743,1132785,96092,33192,258,151,279,64,303114,4416,15535
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,1235889,1228986,1626813,909803,717010,738995,499182,970072,268105,2294369,91636,66987,232,157,7898,110,549077,6445,27529
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,1961688,1974643,2773928,1504355,1269573,1123874,565456,1360185,329145,3397857,414760,111390,676,438,3514,251,865913,20623,69912
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,967709,974579,1398788,760375,638413,579111,371047,854066,96092,1822626,47838,67405,245,87,98,75,505950,10219,37357
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,194544,183686,276217,151643,124574,105657,50174,108259,47572,307120,8256,22940,175,39120,85,206,46875,273,5067
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,352860,341087,520402,275646,244756,186034,62633,186105,62562,507967,105737,44062,151,34717,307,70,81601,997,10310
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,447544,428457,646810,351082,295728,253229,113616,258457,108388,736015,49258,39258,245,49420,106,808,133744,948,10393
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,879428,846311,1361354,722998,638356,500406,197772,524198,173980,1512801,152791,53622,499,2128,362,430,314567,6394,36186
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,2364953,2053844,2680510,1614594,1065916,1119701,270143,1050562,339282,3922718,411313,10076,12057,4049,21508,384,536402,27183,82012
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,1951996,1721893,2092567,1283380,809187,929337,245024,865799,308562,2904140,729283,7635,5875,2582,2805,91,268120,13634,58336
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,3131807,2822584,3665727,2199340,1466387,1426110,685797,1286732,825175,5102041,796756,13782,4377,4391,2247,305,391542,24122,85491
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,1212410,1185478,1486939,846676,640263,547406,239992,440998,346400,1985654,401678,2536,869,1817,235,33,99581,2509,27308
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,740040,639505,930836,546198,384638,364543,77480,325721,116302,1273546,101963,1004,371,332,228,444,65479,2404,14279
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,2285004,2328909,2771917,1559414,1212503,941890,430142,784272,587760,3878626,718692,3810,719,5652,183,226,183381,6652,47324
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,700070,602978,797970,489858,308112,342604,74091,334519,82176,917474,364583,1840,483,161,16139,25,119121,2989,19999
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,1843884,1643847,1398368,878285,520083,895576,256584,743452,408708,2291892,1169330,6400,8212,2793,1177,38,85814,2681,35463
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,1672902,1566872,1963590,1160960,802630,723060,296423,569522,449961,3004240,213440,4463,892,1595,233,64,119972,4672,42969
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1114721,1033944,868357,544943,323414,534332,225921,458727,301526,1333242,805975,3228,900,1866,198,87,57400,1551,15510
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,965876,833534,1002937,630626,372311,485314,216375,483232,218457,1637549,157612,1367,231,168,916,50,73522,1655,18612
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,1707073,1553626,1692458,1010518,681940,871241,321609,834294,358556,2505444,737106,4857,2090,1553,3016,211,108116,3159,26293
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,2357665,2090694,2191759,1342697,849062,1153006,248965,1043912,358059,2830768,1536534,14822,28187,4371,931,339,272830,15164,56575
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,1255272,1209192,1393783,819719,574064,558642,225046,443724,339964,2082976,364510,3493,900,9753,107,99,108101,3423,30244
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,1921215,1761498,2135393,1241471,893922,921497,166539,839778,248258,2032081,1585210,6184,50624,1736,2134,41,268353,7303,37341
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,1845260,1653911,2031656,1253314,778342,897815,275445,885216,288044,2707195,777407,4088,2765,669,1572,86,223922,7865,38225
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,1017905,934851,1174606,699454,475152,462971,189572,341927,310616,1727869,215081,2153,1389,340,100,1175,99602,3492,20762
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,527721,464009,531072,330339,200733,254977,139220,282614,111583,955372,34559,693,63,101,285,27,41046,827,9437
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,1537436,1563510,1875239,1079288,795951,639073,237173,455382,420864,2730957,358539,3626,818,1182,209,146,150001,4469,36068
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,647042,408160,440244,105740,415476,130508,1611126,146346,2464,708,2887,5671,18,69591,2635,19712
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,623583,438420,413713,92359,361588,144484,1457892,113961,1362,1045,1733,3917,94,113098,2964,21506
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,838339,612562,597888,233321,496579,334630,2094271,365806,3225,1912,737,358,185,127754,4746,28625
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,654827,437850,494545,97722,474686,117581,1596278,276846,3137,3160,3161,487,100,88081,2624,18733
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,911003,601163,713736,350193,670156,393773,2274674,350700,2201,402,172,199,47,75263,3385,33501
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,912314,609492,621840,139681,573649,187872,2140745,314812,3370,1804,3395,19077,61,196080,5834,31797
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,890214,757901,1122947,666065,456882,443384,125725,458492,110617,1394025,215500,7366,9261,895,4518,91,257586,53181,87188
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,1811397,1311867,1231615,288923,1252911,267627,3414427,1186776,19026,23001,3487,16412,265,695130,78116,179552
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,2197549,1293553,903996,808700,395902,766881,437721,3233790,368153,4181,810,3145,213,184,105767,5309,50180
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,1679994,1034181,645813,855848,314704,739663,430889,2739076,678615,4735,1893,649,338,57,104084,4313,31811
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,2700328,1593890,1106438,1016876,334753,746381,605248,4009037,403847,9662,2123,2848,460,207,296619,14597,65360
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,180555,177536,118724,123207,126153,115778,449412,3711,243,591,95,293,9,104120,2521,7525
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,408125,245174,308527,135128,290375,153280,1010014,91269,814,196,74,41,273,55929,1196,11037
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,1374587,847014,1091952,226994,969871,349075,3508131,556219,5822,5688,6671,446,98,95508,3845,32065
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,1075196,653430,421766,470969,149795,420266,200498,1509708,171581,1148,463,2875,256,145,104176,2217,18615
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,2731677,1565394,1166283,934157,503218,896547,540828,3981502,483750,4947,1286,7898,349,114,181467,8002,52398
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,783705,520808,565357,249557,560041,254873,1823930,147842,7050,4951,1203,7328,311,183340,8517,40774
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,600541,382569,459037,140052,453567,145522,1075440,750368,5952,5295,189,517,21,89329,2825,18303
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,603596,413491,430934,93742,419027,105649,1375788,273967,1263,504,2033,606,65,61491,2488,18082
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,692964,477279,493991,134873,448651,180213,1612968,176327,1300,478,819,155,103,49753,2682,25354
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,507279,306145,402644,236442,415312,223774,1372381,220423,2225,522,687,545,3,43753,1503,15029
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,1183722,771098,804857,312116,523258,593715,2928462,620244,5006,767,4619,383,133,127331,3486,35931
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,397586,243605,326783,176568,357033,146318,1163804,33724,1351,1034,69,20390,41,77082,1079,9906
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,1742440,1384820,1226399,316407,1152285,390521,3537787,985070,20493,23883,3877,4975,504,582769,68506,152257
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,302283,185823,237153,112523,238712,110964,815142,57454,965,389,94,234,157,42936,1316,11298
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,712110,491775,466067,94773,424782,136058,1746649,100723,1729,475,8814,4161,38,79022,2642,24451
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,943346,564400,635142,205797,594799,246140,2310776,216933,3179,2872,883,2056,126,281239,8726,37596
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,773082,589962,475413,221334,396438,300309,1769937,428555,2109,340,564,155,129,149908,2656,26716
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,1254520,886968,898810,191729,890810,199729,2183255,1185643,10582,24912,1855,18544,236,425624,23717,69473
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,865837,562846,613061,268935,537091,344905,2292534,195765,2373,1133,341,701,27,145997,4447,24518
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,1357435,906413,1193439,224372,1104968,312843,2488265,2248392,13157,7555,1260,2426,382,281758,11690,61846
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,1448528,968811,1081569,210075,1085491,206153,2382914,1711453,6495,18601,1516,16345,60,368153,10077,56149
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,654290,406805,534939,83666,463415,155190,1449007,489686,3510,84787,360,138,45,83006,2870,18097
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,401515,250122,151393,251691,229603,327445,153849,827293,25597,358,72,32,14077,27,71612,716,5961
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,1931559,1121381,810178,704569,362032,553013,513588,2731351,452394,3920,1451,7795,746,43,140538,5149,34400
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,1165965,799878,867393,337317,644869,559841,2975998,413243,3634,2424,722,397,602,247856,5184,34788
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,630408,413258,609693,127568,564266,172995,1073890,1181337,9201,65316,384,1307,63,131112,3847,25960
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,2077108,1220114,856994,911136,126208,882701,154643,1966892,1454052,6523,18627,1937,10208,135,404499,9699,38816
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,567098,387851,383482,155987,265453,274016,1300586,404410,1766,447,4393,95,35,79525,2031,19729
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,915142,575788,783313,108901,699503,192711,2412595,527581,4630,51090,2312,301,84,115163,3889,27533
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,1397702,886031,1171252,251350,1023642,398960,3555450,893725,6579,11611,2663,1410,79,102040,3874,34609
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,601988,383720,463611,266788,397196,333203,1738769,103567,3963,1649,1747,487,1907,95582,5149,25220
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,1300248,939654,869838,372794,690967,551665,3119590,650261,4453,1629,9989,426,336,233701,5956,44008
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,1053063,720521,851014,273730,761831,362913,2732016,363453,3574,1204,920,240,31,99466,3476,28719
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,2403903,1389116,1014787,921234,299474,920761,299947,3107681,546987,7696,3309,1146,1898,298,336056,19214,57583
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,231604,204893,142460,155751,201078,97133,611250,7752,1895,256,201,31,6,109876,1830,9858
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,97546,81937,58708,64930,78085,45553,257509,1440,397,46,102,7,16,47083,435,3595
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,280556,155395,125161,93832,87108,115115,65825,385818,4395,428,323,190,11,23,71524,899,5582
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,102015,75711,60427,39139,62698,36868,249563,8693,870,336,24,28,6,37725,548,3159
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,345550,189623,155927,113539,102951,145481,71009,475105,6015,1401,260,185,13,30,95421,1344,7932
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,227406,180588,140821,139621,165912,114530,609835,7374,656,290,32,91,109,117239,1366,7831
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,598525,439314,444578,146880,450762,140696,1104452,372267,6064,162768,505,738,159,254802,7883,28053
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,215126,128237,86889,84265,73011,128367,28909,324859,3554,353,167,563,74,105,52621,602,4104
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,1299337,933655,1050822,415398,916393,549827,3033581,290450,3865,386,260,2904,260694,334670,4273,34128
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,2918040,2329168,2293083,618168,2166742,744509,6008472,1599764,21220,16675,1602,1674,44968,1049943,32323,141387
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,1201481,956966,1029770,301833,912844,418759,2181515,1298054,10906,582,258,1152,6051,333752,5210,39636
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,596474,487211,499560,203427,526470,176517,1232850,412788,24794,276,148,323,2786,168069,2518,24318
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,717673,597912,479586,204140,532855,150871,1366681,105086,141848,2032,209240,1840,15523,297176,10943,38065
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,1942824,1662382,1498170,321675,1496267,323578,3535844,1270641,8666,4380,1258,9699,1265,796953,30751,99261
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,4078388,2211777,1866611,1713608,439262,1714645,438225,4574569,870204,7300,2662,1730,2160,49050,965258,31725,118459
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,1396622,1102158,1091361,421549,1153765,359145,3156781,445817,186279,2994,50676,1461,23816,382500,9322,48818
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,1926915,1661222,1412466,383274,1576419,219321,3440290,926414,39758,13849,4771,21178,1452,927602,136618,252644
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,1152019,934413,1086461,451386,1050995,486852,1914352,2045151,13209,747,359,639,7929,297716,5357,63525
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,2177187,1878647,1985667,604240,2022083,567824,2359061,4707573,18102,766,348,3037,7429,541169,7951,79729
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,1878866,1601689,1554090,288517,1595880,246727,3728482,1382682,33835,849,514,281,16893,623729,12787,77210
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,1002058,622847,801254,448388,613398,636244,2373120,227249,8646,622,209,3052,309029,189889,3551,32862
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,853495,636172,799627,275999,824342,251284,1482943,1501170,16702,477,432,1324,1622,199307,2883,31210
